Player, Shots or Saves, Shots or Saves Against Opponent, Shots or Saves in March, Shots or Saves at condition, Average of Conditions
John Marino, 1.089430894308943, 1.0714285714285714, 0.9347826086956522, 1.168, 1.0659105186082918
Jesper Bratt, 2.057742782152231, 1.8888888888888888, 2.09375, 2.0053475935828877, 2.011432316156002
Nathan Bastian, 1.3522012578616351, 0.6, 1.65625, 1.1168831168831168, 1.181333593686188
Michael McLeod, 1.055084745762712, 1.411764705882353, 1.0491803278688525, 0.9911504424778761, 1.1267950554979485
Nico Hischier, 2.3941018766756033, 2.8095238095238093, 2.4038461538461537, 2.481081081081081, 2.5221382302816617
Jesper Boqvist, 1.149171270718232, 1.4615384615384615, 1.1290322580645162, 1.0897435897435896, 1.2073713950161997
Kevin Bahl, 0.7068965517241379, 0, 0.6153846153846154, 0.6206896551724138, 0.48574270557029176
Yegor Sharangovich, 2.0202020202020203, 1.7333333333333334, 2.575, 2.080808080808081, 2.102335858585859
Nolan Foote, 1.0, 0.0, 1.0, 0.5714285714285714, 0.6428571428571428
Dawson Mercer, 1.9166666666666667, 1.4285714285714286, 2.4482758620689653, 1.794871794871795, 1.897096438044714
Nick Bonino, 1.5589307411907656, 1.7, 1.657718120805369, 1.7391304347826086, 1.6639448241946857
Dmitry Kulikov, 1.1793103448275861, 1.0769230769230769, 1.314102564102564, 1.248259860788863, 1.2046489616605225
Marcus Pettersson, 1.1246537396121883, 2.125, 1.1304347826086956, 1.0874316939890711, 1.3668800540524888
Taylor Fedun, 1.381679389312977, 1.0, 1.0, 1.423728813559322, 1.2013520507180748
Jeff Carter, 3.1152296535052377, 3.090909090909091, 3.1024590163934427, 3.2407108239095317, 3.1373271461793255
Evgeni Malkin, 3.279620853080569, 3.0588235294117645, 3.260115606936416, 3.3943396226415095, 3.248224903017565
Sidney Crosby, 3.1844331641285955, 3.25, 3.3449781659388647, 3.3095238095238093, 3.272233784897818
Kris Letang, 2.60481444332999, 3.1666666666666665, 2.6294117647058823, 2.7246963562753037, 2.7813973077444607
Jeff Petry, 1.8376168224299065, 1.5769230769230769, 1.643835616438356, 1.875586854460094, 1.7334905925628585
Brian Dumoulin, 1.1802973977695168, 1.1, 1.2307692307692308, 1.1727941176470589, 1.1709651865464517
Jason Zucker, 2.3225806451612905, 2.5517241379310347, 2.528735632183908, 2.369281045751634, 2.443080365256967
Mikael Granlund, 1.8638814016172507, 2.2083333333333335, 1.5474452554744527, 1.9088471849865951, 1.8821267938529083
Bryan Rust, 2.319919517102616, 2.0833333333333335, 2.32183908045977, 2.4822134387351777, 2.3018263424077245
