Player, Shots or Saves, Shots or Saves Against Opponent, Shots or Saves in March, Shots or Saves at condition
Dylan Gambrell, 0.8461538461538461, 0.4, 0.9347826086956522, 0.8598130841121495
Erik Brannstrom, 1.2670454545454546, 1.0, 1.4814814814814814, 1.3563218390804597
Drake Batherson, 2.215962441314554, 2.2222222222222223, 2.4347826086956523, 2.3603603603603602
Mark Kastelic, 1.0289855072463767, 0.0, 1.1428571428571428, 1.1666666666666667
Parker Kelly, 1.1134020618556701, 0.8333333333333334, 1.4, 1.1153846153846154
Brady Tkachuk, 3.646376811594203, 3.736842105263158, 3.7818181818181817, 3.658959537572254
Kevin Mandolese, 36.333333333333336, 0, 34.0, 0
Mads Sogaard, 23.923076923076923, 0, 24.4, 22.428571428571427
Shane Pinto, 1.6352941176470588, 1.8, 2.0, 1.7209302325581395
Jake Sanderson, 1.6031746031746033, 2.0, 1.625, 1.4516129032258065
Artem Zub, 0.9580838323353293, 0.8333333333333334, 0.8611111111111112, 0.9523809523809523
Jaroslav Halak, 25.838541666666668, 27.73076923076923, 25.60576923076923, 25.8006993006993
Patrick Kane, 3.329623287671233, 2.9523809523809526, 3.2731958762886597, 3.464957264957265
Chris Kreider, 2.41029207232267, 2.4473684210526314, 2.109375, 2.536986301369863
Vladimir Tarasenko, 3.167927382753404, 2.7333333333333334, 3.336448598130841, 3.252307692307692
Vincent Trocheck, 2.576243980738363, 2.9130434782608696, 2.268292682926829, 2.6056782334384856
Mika Zibanejad, 2.6228419654714474, 3.1818181818181817, 2.47972972972973, 2.7263157894736842
Barclay Goodrow, 1.2217573221757323, 0.9285714285714286, 1.1547619047619047, 1.2791666666666666
Jacob Trouba, 2.2045112781954885, 2.392857142857143, 1.8407079646017699, 2.267692307692308
Jimmy Vesey, 0.6, 0.0, 1.0, 0.42857142857142855
Tyler Motte, 1.5173501577287065, 1.6363636363636365, 1.5555555555555556, 1.5030674846625767
Ben Harpur, 0.8297872340425532, 1.1428571428571428, 0.9824561403508771, 0.7471264367816092
Igor Shesterkin, 27.677852348993287, 25.636363636363637, 27.434782608695652, 27.58823529411765
Artemi Panarin, 2.5625, 2.423076923076923, 2.4, 2.731707317073171
Niko Mikkola, 0.9102564102564102, 1.2, 0.8, 0.9615384615384616
Adam Fox, 1.929889298892989, 1.75, 1.7272727272727273, 2.037313432835821
Ryan Lindgren, 1.043824701195219, 1.2666666666666666, 1.2432432432432432, 1.088
Filip Chytil, 1.961661341853035, 1.8125, 1.8225806451612903, 2.1476510067114094
K'Andre Miller, 1.265, 0.9333333333333333, 1.0833333333333333, 1.3366336633663367
Kaapo Kakko, 1.5644444444444445, 1.7272727272727273, 1.5714285714285714, 1.575221238938053
Braden Schneider, 0.8545454545454545, 0.5714285714285714, 0.7272727272727273, 0.6206896551724138
Alexis Lafrenière, 1.4603960396039604, 0.9333333333333333, 1.2820512820512822, 1.6796116504854368
Alexander Edler, 2.0772238514173997, 1.6666666666666667, 2.258426966292135, 2.060546875
Anze Kopitar, 2.400312744331509, 2.35, 2.273542600896861, 2.4453125
Drew Doughty, 2.11090573012939, 1.9411764705882353, 2.036082474226804, 2.098148148148148
Phillip Danault, 1.7907407407407407, 1.6666666666666667, 1.9767441860465116, 1.8222222222222222
Joonas Korpisalo, 26.140845070422536, 29.6, 25.61111111111111, 24.82608695652174
Pheonix Copley, 24.096774193548388, 0, 25.0, 24.75
Kevin Fiala, 2.6556701030927834, 2.3076923076923075, 2.6144578313253013, 2.830578512396694
Adrian Kempe, 2.176470588235294, 2.7058823529411766, 2.070588235294118, 2.173160173160173
Viktor Arvidsson, 2.9592233009708737, 2.625, 3.16, 2.9657794676806084
Vladislav Gavrikov, 1.167300380228137, 1.3333333333333333, 1.1025641025641026, 1.051094890510949
Matt Roy, 0.8939393939393939, 1.0, 1.6666666666666667, 0.6896551724137931
Carl Grundstrom, 1.4855491329479769, 1.8571428571428572, 1.4318181818181819, 1.5227272727272727
Trevor Moore, 2.024, 1.6, 2.02, 1.9402985074626866
Zack MacEwen, 1.106145251396648, 0.0, 1.15625, 1.188235294117647
Jaret Anderson-Dolan, 1.10752688172043, 2.0, 1.0, 0.9772727272727273
Mikey Anderson, 1.4678055190538766, 1.4814814814814814, 1.3511450381679388, 1.5275590551181102
Gabriel Vilardi, 1.6081081081081081, 1.5, 1.5, 1.858974358974359
Alex Iafallo, 2.090909090909091, 2.4285714285714284, 1.7941176470588236, 2.0693069306930694
Sean Walker, 1.6981981981981982, 1.8333333333333333, 1.5588235294117647, 1.7692307692307692
Sean Durzi, 1.7222222222222223, 1.25, 1.8421052631578947, 1.8666666666666667
Rasmus Kupari, 0.8205128205128205, 0.25, 1.05, 0.873015873015873
Blake Lizotte, 1.2682926829268293, 1.3333333333333333, 1.1538461538461537, 1.2142857142857142
Arthur Kaliyev, 2.3464566929133857, 1.75, 2.95, 2.390625
Jordan Spence, 1.6071428571428572, 1.0, 1.4615384615384615, 1.5333333333333334
Quinton Byfield, 1.186046511627907, 0.0, 1.0869565217391304, 1.3157894736842106
Michael Stone, 1.5854545454545454, 1.263157894736842, 1.684782608695652, 1.6691176470588236
Trevor Lewis, 1.7053469852104663, 1.5405405405405406, 1.6136363636363635, 1.6561085972850678
Milan Lucic, 1.5395869191049913, 0.9310344827586207, 1.5178571428571428, 1.5763888888888888
Mikael Backlund, 2.411173184357542, 2.3548387096774195, 2.5272727272727273, 2.4434389140271495
Nazem Kadri, 2.698019801980198, 3.0454545454545454, 2.7375886524822697, 2.790931989924433
Chris Tanev, 0.8312236286919831, 1.1153846153846154, 0.8769230769230769, 0.8757062146892656
Tyler Toffoli, 2.7402777777777776, 2.380952380952381, 2.58955223880597, 2.766016713091922
Blake Coleman, 2.401330376940133, 1.75, 1.9090909090909092, 2.3008849557522124
Jonathan Huberdeau, 2.283582089552239, 2.130434782608696, 2.507042253521127, 2.514745308310992
MacKenzie Weegar, 1.7272727272727273, 1.75, 1.7945205479452055, 1.7734806629834254
Elias Lindholm, 2.171232876712329, 2.619047619047619, 1.9481481481481482, 2.2527472527472527
Nikita Zadorov, 1.1823104693140793, 1.3529411764705883, 1.3734939759036144, 1.1637010676156583
Nick Ritchie, 1.724946695095949, 1.7142857142857142, 1.8470588235294119, 1.6784140969162995
Andrew Mangiapane, 1.8571428571428572, 1.8888888888888888, 1.5517241379310345, 1.8109756097560976
Noah Hanifin, 1.823931623931624, 2.1176470588235294, 1.8333333333333333, 1.8517241379310345
Rasmus Andersson, 1.7472527472527473, 1.2727272727272727, 1.578125, 1.6850828729281768
Dan Vladar, 23.807692307692307, 17.0, 27.666666666666668, 20.157894736842106
Dennis Gilbert, 0.5581395348837209, 0, 0.0, 0.3333333333333333
Dillon Dube, 1.5985130111524164, 1.1666666666666667, 1.8205128205128205, 1.7633587786259541
Troy Stecher, 1.3653395784543325, 1.5909090909090908, 1.4342105263157894, 1.206896551724138
Adam Ruzicka, 1.3287671232876712, 2.5, 1.2, 1.2727272727272727
Jakob Pelletier, 2.0, 2.0, 2.2857142857142856, 2.1818181818181817
Walker Duehr, 1.411764705882353, 1.0, 1.25, 1.5
Zack Kassian, 1.2075757575757575, 1.4230769230769231, 1.1065573770491803, 1.2035398230088497
Patrik Nemeth, 0.9715447154471545, 1.1333333333333333, 0.9428571428571428, 1.095435684647303
